,item_id,i_name,i_category,r_substitute,r_buy_together,r_complement
0,1317,Texas Instruments TI-1795 SV Standard Function Calculator,4,[],"[1583, 1976]","[516, 1676, 115, 361, 124, 2064, 963, 49, 494, 834, 378, 1473, 505, 2102, 89, 633, 1728, 1869, 745, 2078, 966, 1357, 587, 1694, 944, 998, 699, 1583, 1264, 421, 1235, 1616, 1322, 835, 1218, 2237, 1396, 484, 2116, 435, 1976, 736, 1713, 557, 850, 139]"
1,599,"Texas Instruments TI-30X IIS 2-Line Scientific Calculator, Black",4,[],"[1185, 1590]","[1050, 903, 215, 1082, 774, 1151, 1468, 1464, 505, 206, 1969, 2386, 2078, 1134, 2359, 1481, 1925, 859, 890, 2058, 1924, 1624, 243, 800, 2168, 1139, 557, 1755, 1559]"
2,1203,Texas Instruments TI-83 Graphing Calculator,4,[],[1633],[]
3,1445,HP 12C Financial Calculator,4,"[886, 1496, 1681, 599, 2112]",[],"[886, 1496, 518, 590, 589, 2112]"
4,355,"Avery Half-Fold Greeting Cards for Inkjet Printers, 5.5 inches x 8.5 inches, White, Matte, Pack of 20 (03265)",25,"[1739, 1611, 2094, 941, 1644, 2096, 1465, 960]",[],"[1783, 946, 681, 1914, 1465, 444, 49, 1611, 1353, 2096, 980, 960, 112, 142, 75, 770, 168, 2094, 1436, 182, 1448]"
5,886,Texas Instruments BA II Plus Financial Calculator,4,"[1496, 1185, 1359, 1445, 599, 1590, 1633, 2112]",[],"[736, 1481, 2082, 1185, 1359, 1445, 599, 2112]"
6,2053,Canon LS-85H Portable Display Calculator,4,[],"[1319, 594, 1317]",[]
7,2054,"Fellowes Gel Wrist Rest, Graphite/Platinum (91737)",11,"[499, 409, 1797, 2238, 448, 1361, 1795, 2211, 835]",[],"[834, 1614, 835, 293, 1361, 1580, 1795, 1479, 2211, 1861]"
8,833,"DYMO Labeling Tape, &frac12;&quot; x 23', Black Print on White Tape (45013) D1 Label Cassette, Split Back Easy Peel Adhesive",22,"[1285, 807, 401, 103, 253, 108, 1276, 970, 1206, 1170, 71]",[],"[516, 361, 313, 49, 807, 378, 494, 94, 1206, 966, 1667, 253, 1807, 1276, 850, 1086, 71, 484, 736, 557, 589]"
9,1794,"DYMO 30323 LaberWriter Standard Shipping Labels for LabelWriter Label Printers, 2 1/8- by 4-inch, White, Roll of 220",22,"[253, 1276, 1206, 1420, 2278, 912, 2289, 1796]",[],"[833, 516, 2161, 313, 151, 2289, 49, 494, 365, 1470, 1206, 2278, 587, 1968, 1276, 1933, 1149, 1560, 421, 1322, 912, 1295, 786, 47, 484, 1796]"
10,936,Fellowes 58021 Medium Mouse Pad (Blue),11,"[834, 536, 600, 2110, 1205, 1891, 1974, 997]",[],"[1398, 115, 834, 1473, 600, 633, 1205, 1260, 1320, 1361, 2087, 1357, 997, 1479, 587, 1694, 1583, 421, 1462, 536, 484, 769, 736, 835, 2211, 850]"
11,1609,Fellowes EXL45-2 Small-Size Laminating System,27,"[137, 1965, 383, 437, 1364, 1699, 901, 94, 1742, 665, 1501, 1075, 194, 1163, 664, 2205]",[],"[2184, 908, 2068, 1364, 1699, 94, 635, 75, 104, 1501, 1075, 1163]"
12,834,Fellowes 58024 Medium Mouse Pad (Black),11,[],"[155, 536, 704]","[115, 361, 1974, 49, 378, 630, 1473, 704, 1260, 155, 1361, 2101, 587, 1694, 1807, 998, 850, 1235, 1322, 2099, 536, 936, 1107, 773, 484, 1321, 740, 835, 589, 139]"
13,1795,"Fellowes Gel Wrist Rest and Mouse Pad, Graphite/Platinum (91741)",11,"[499, 2054, 2241, 419, 59, 1798, 268, 798, 1320, 422, 1361, 835, 2211]",[],"[499, 2054, 59, 1798, 1358, 633, 1361, 835, 1479, 2211, 1580]"
14,2055,Brother TN460 High Yield Toner Cartridge - Retail Packaging,28,[],"[151, 705]","[1518, 1975, 1517, 2312, 151, 378, 1557, 1103, 109, 1953, 911, 1807, 1342, 1458, 1933, 1322, 2203, 1178, 705, 1988, 1852, 737]"
15,2056,HP 23 Tri-Color Inkjet Print Ink Cartridge in Retail Packaging,28,[],[2163],"[541, 1804, 1176, 1267, 895, 1914, 1627, 1014, 2163, 1103, 2136, 950, 1357, 2121, 887, 1253, 1077, 1255, 1640, 1671, 2122, 2166, 1229, 1178, 705, 1369, 737]"
16,1610,"Epson Premium Presentation Paper MATTE (8.5x11 Inches, 50 Sheets) (S041257)",25,"[938, 1819, 893, 941, 1257, 2161, 770, 1222, 2202]",[],"[427, 938, 74, 946, 1611, 451, 681, 694, 770, 447, 1298, 182, 2202, 49]"
17,1126,"Epson Presentation Paper Matte, 8.5 x 11 Inches, 100 Sheets (S041062)",25,"[938, 1257, 1610, 770, 447, 2202]",[],"[458, 427, 938, 2396, 224, 694, 369, 336, 1314, 770, 2161, 1610, 459, 182, 795, 627, 49]"
18,937,Canon 4479A003 BCI-3eBK Black Ink Cartridge,28,[],"[561, 692]","[2186, 269, 224, 1874, 1436, 561, 673, 444, 2150, 1568]"
19,1127,Brother PT-65 P-touch Home and Hobby Labeler with LCD Screen,24,"[1285, 103, 108, 1105, 851, 2165, 296, 1964, 1170, 71]",[],[2165]
20,996,"BIC Round Stic Ball Pens, Medium Point, Blue, 10 Pens",39,"[1980, 903, 2075, 494, 2088, 505, 34, 1297, 1134, 1481, 1925, 890, 243, 800, 1327, 484, 769, 1648, 1324, 1336, 2078]",[],"[1980, 516, 1676, 115, 774, 49, 494, 378, 139, 1473, 2088, 505, 34, 2386, 745, 966, 2087, 1357, 1134, 587, 2078, 1481, 1807, 1925, 890, 1583, 1264, 2058, 1322, 1624, 1135, 243, 800, 557, 484, 769, 1648, 2168, 19, 1713, 1324, 850, 1934]"
21,1204,"Mead Spiral 1-Subject Wide-Ruled Notebook, 1 Notebook, Color May Vary, Assorted Colors  (05510)",25,"[2359, 979, 903, 243, 800, 1504, 890, 206, 2058, 2168, 2386, 1367, 1464]",[],"[1050, 903, 215, 115, 1082, 1367, 49, 1464, 494, 505, 206, 1969, 2386, 1134, 2359, 1925, 890, 2058, 1924, 1624, 243, 800, 1504, 484, 2168, 1139, 557]"
22,1446,"3M Scotch Heavy Duty Mounting Tape, 1-Inch by 50-Inch",35,"[2057, 1047, 263, 170, 199, 1456]",[],"[494, 762, 139, 2057, 998, 1456, 1047, 1419, 484, 170, 199, 838, 19, 263, 796, 1336, 220]"
23,170,"3M Scotch Mounting Tape, .5-Inch by 75-Inch (110)",35,"[222, 2057, 1047, 263, 1446, 199, 1456, 8]",[],"[2057, 859, 1047, 1419, 484, 1446, 19, 199, 838, 263, 220]"
24,1047,"Scotch Exterior Mounting Tape, 1-Inch by 60-Inch",35,"[2057, 263, 2215, 1446, 170, 199, 1456, 1166]",[],"[199, 484, 170, 1446, 844, 263]"
